"creative","uid","year","race","affiliation","cand_id"
"HOUSE/AK01 YOUNG GROWN WITH ALASKA","NoChannel",2012,"US HOUSE","REPUBLICAN","Young_Don"
"HOUSE/AL02 FORD TIME AND AGAIN","NoChannel",2012,"US HOUSE","DEMOCRAT","Ford_Therese"
"HOUSE/AL02 ROBY THESE ARE OUR CHILDREN","NoChannel",2012,"US HOUSE","REPUBLICAN","Roby_Martha"
"HOUSE/AL04 ADERHOLT TROUBLE ABROAD TROUBLE AT HOME","NoChannel",2012,"US HOUSE","REPUBLICAN","Aderholt_Robert"
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN","NoMatch",2012,"US HOUSE","DEMOCRAT","Bailey_Penny"
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN 10","NoMatch",2012,"US HOUSE","DEMOCRAT","Bailey_Penny"
"HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON","bqAfEUP4evU",2012,"US HOUSE","REPUBLICAN","Crawford_Rick"
"HOUSE/AR01 CRAWFORD TICKING TIME BOMB","QEtYnTXi_yc",2012,"US HOUSE","REPUBLICAN","Crawford_Rick"
"HOUSE/AR02 GRIFFIN KEYSTONE XL PIPELINE","NoChannel",2012,"US HOUSE","REPUBLICAN","Griffin_Tim"
"HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15","VQd-oNNr2XQ",2012,"US HOUSE","REPUBLICAN","Cotton_Tom"
"HOUSE/AR04 COTTON WE ALL TOOK AN OATH","5Cj0q0EbQTs",2012,"US HOUSE","REPUBLICAN","Cotton_Tom"
"HOUSE/AZ01 KIRKPATRICK COWBOYS","xB8hnNNCbMk",2012,"US HOUSE","DEMOCRAT","Kirkpatrick_Ann"
"HOUSE/AZ01 KIRKPATRICK DRIVEN","H-vApzyuhVc",2012,"US HOUSE","DEMOCRAT","Kirkpatrick_Ann"
"HOUSE/AZ01 KIRKPATRICK REFUNDED","GokdiJLMrpw",2012,"US HOUSE","DEMOCRAT","Kirkpatrick_Ann"
"HOUSE/AZ01 KIRKPATRICK RIGHT WAY","IwzYREAxI0M",2012,"US HOUSE","DEMOCRAT","Kirkpatrick_Ann"
"HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE","h-9_m2JpKus",2012,"US HOUSE","REPUBLICAN","Paton_Jonathan"
"HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE","0SxXVygJTWY",2012,"US HOUSE","REPUBLICAN","Paton_Jonathan"
"HOUSE/AZ02 BARBER&DCCC FALSE ATTACKS REV","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 BARBER DEMONSTRATED HIS RESILIENCE","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 BARBER EXPERIENCE AND DEEP ROOTS","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 BARBER FRAN","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 BARBER MCSALLY FALSE ATTACKS","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 BARBER WORKED HARD","NoMatch",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ02 MCSALLY BARBER FIX WASHINGTON","NoMatch",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY BARBER GONE WASHINGTON","NoMatch",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY IS NOT AFRAID OF A GOOD FIGHT","NoMatch",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY LEADS IN THEIR FOOTSTEPS","NoMatch",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY PIONEERING SPIRIT","x3-mcf9owZQ",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY REKINDLE","1-edDFTY9iM",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ02 MCSALLY STRIPES","NoMatch",2012,"US HOUSE","REPUBLICAN","McSally_Martha"
"HOUSE/AZ08 AZDP&BARBER THE RIGHT WAY","NoChannel",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ08 BARBER BROKE","NoChannel",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
"HOUSE/AZ08 BARBER COMMON GROUND","NoChannel",2012,"US HOUSE","DEMOCRAT","Barber_Ron"
