creative,uid,fav_path,opp_paths,fav_name,opp_names
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOT FIVE YEAR OLD,9vtaQo5aNOc,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOT MY GRANDSON,hqqEfMXUUa4,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOT RECENT POLL,oXvTqm1AOIU,,,Bill Walker,Sean Parnell
GOV/AK WALKER&MALLOTT INDEPENDENT TEAM,twu-a5bTpDc,,,Bill Walker,Sean Parnell
GOV/AL GRIFFITH ATTACKING,k5vNM-yLZkc,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH MORE BENTLEY LIES,3sTUneQ7-4g,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH NOT TELLING THE TRUTH,hMWjBrV5nc0,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH PLAN,6g-YbV6rf2E,,,Parker Griffith,Robert Bentley
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,,,Parker Griffith,Robert Bentley
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,,,Asa Hutchinson,"Mike Ross,Josh Drake"
GOV/AR HUTCHINSON GRANDDAUGHTER,mUPfQ5bDdTQ,,,Asa Hutchinson,"Mike Ross,Josh Drake"
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,,,Asa Hutchinson,"Mike Ross,Josh Drake"
GOV/AR HUTCHINSON MET MY GRANDDAUGHTER,PACW-2_IGVQ,,,Asa Hutchinson,"Mike Ross,Josh Drake"
GOV/AR HUTCHINSON MY TRUCK,TYphFN5EF8Q,,,Asa Hutchinson,"Mike Ross,Josh Drake"
GOV/AR HUTCHINSON NEGATIVITY,JSiJYro2UFc,,,Asa Hutchinson,"Mike Ross,Josh Drake"
