campaign,year,issue,year2012,log_vap,total_disb_vep,diff_disb_vep,comp,negative,owned,consensual,salience,convergence,wmp
AK,2014,issue10,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,1.0,0.0,1
AK,2014,issue18,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,0,1,24.5,90.90909090909092,1
AK,2014,issue22,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,0,0,28.499999999999996,0.0,1
AK,2014,issue30,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,0.0,0.0,1
AK,2014,issue32,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,4.0,0.0,1
AK,2014,issue37,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,0.0,0.0,1
AK,2014,issue40,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,0.5,0.0,1
AK,2014,issue50,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,0,0,3.0,0.0,1
AK,2014,issue53,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,6.5,0.0,1
AK,2014,issue60,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,1,0,0.0,0.0,1
AK,2014,issue83,0,13.21919422,33.96474579,4.007695529,1.0,22.72727272727273,0,0,1.0,0.0,1
AR,2014,issue10,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,1.0,0.0,1
AR,2014,issue18,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,0,1,24.5,0.0,1
AR,2014,issue20,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,0,0,0.0,0.0,1
AR,2014,issue32,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,4.0,0.0,1
AR,2014,issue50,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,0,0,3.0,0.0,1
AR,2014,issue53,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,6.5,0.0,1
AR,2014,issue55,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,54.71698113207548,1
AR,2014,issue56,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,93.5483870967742,1
AR,2014,issue60,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,31.884057971014478,1
AR,2014,issue67,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,0.0,1
AR,2014,issue69,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,0.0,1
AR,2014,issue70,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,1,0,0.0,0.0,1
AR,2014,issue91,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,0,1,11.0,0.0,1
AR,2014,issue95,0,14.63178513,12.7625452,0.282726933,1.0,42.307692307692314,0,0,3.0,0.0,1
AZ,2012,issue10,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,1,0,1.0,0.0,1
AZ,2012,issue13,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,1,0,0.5,0.0,1
AZ,2012,issue18,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,0,1,24.5,92.3076923076923,1
AZ,2012,issue53,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,1,0,6.5,72.72727272727273,1
AZ,2012,issue55,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,1,0,0.0,73.68421052631578,1
AZ,2012,issue60,1,15.41676911,3.648533695,0.707727842,1.0,61.53846153846154,1,0,0.0,0.0,1
