"creative","racelab","rep","dem","third","repinc","deminc","thirdinc","win","thirdpty","inc","won"
"HOUSE/AK01 YOUNG GROWN WITH ALASKA","hou2012","Young, Don","Cissna, Sharon M.","McDermott, Jim C.",1,0,0,"R",NA,1,1
"HOUSE/AL02 FORD TIME AND AGAIN","hou2012","Roby, Martha","Ford, Therese","",1,0,0,"R",NA,0,0
"HOUSE/AL02 ROBY THESE ARE OUR CHILDREN","hou2012","Roby, Martha","Ford, Therese","",1,0,0,"R",NA,1,1
"HOUSE/AL04 ADERHOLT TROUBLE ABROAD TROUBLE AT HOME","hou2012","Aderholt, Robert","Boman, Daniel H.","",1,0,0,"R",NA,1,1
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN","hou2012","Bachus, Spencer","Bailey, Penny","",1,0,0,"R",NA,0,0
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN 10","hou2012","Bachus, Spencer","Bailey, Penny","",1,0,0,"R",NA,0,0
"HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON","hou2012","Crawford, Rick","Ellington, Scott","Paxton, Jessica",1,0,0,"R",NA,1,1
"HOUSE/AR01 CRAWFORD TICKING TIME BOMB","hou2012","Crawford, Rick","Ellington, Scott","Paxton, Jessica",1,0,0,"R",NA,1,1
"HOUSE/AR02 GRIFFIN KEYSTONE XL PIPELINE","hou2012","Griffin, Tim","Rule, Herb","Ward, Barbara",1,0,0,"R",NA,1,1
"HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15","hou2012","Cotton, Tom","Jeffress, Gene","Tullis, Bobby",0,0,0,"R",NA,0,1
"HOUSE/AR04 COTTON WE ALL TOOK AN OATH","hou2012","Cotton, Tom","Jeffress, Gene","Tullis, Bobby",0,0,0,"R",NA,0,1
"HOUSE/AZ01 KIRKPATRICK COWBOYS","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK DRIVEN","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK REFUNDED","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 KIRKPATRICK RIGHT WAY","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,1
"HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,0
"HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE","hou2012","Paton, Jonathan","Kirkpatrick, Ann","Allen, Kim",0,0,0,"D",NA,0,0
"HOUSE/AZ02 BARBER DEMONSTRATED HIS RESILIENCE","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER EXPERIENCE AND DEEP ROOTS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER FRAN","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER MCSALLY FALSE ATTACKS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER WORKED HARD","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 BARBER&DCCC FALSE ATTACKS REV","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,1,1
"HOUSE/AZ02 MCSALLY BARBER FIX WASHINGTON","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY BARBER GONE WASHINGTON","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY IS NOT AFRAID OF A GOOD FIGHT","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY LEADS IN THEIR FOOTSTEPS","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY PIONEERING SPIRIT","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY REKINDLE","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ02 MCSALLY STRIPES","hou2012","McSally, Martha","Barber, Ron","Prowell, Anthony",0,1,0,"D",NA,0,0
"HOUSE/AZ08 AZDP&BARBER THE RIGHT WAY","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER BROKE","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER COMMON GROUND","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER FALSE ATTACKS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 BARBER SMALL BUSINESS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,0,0
"HOUSE/AZ08 KELLY BARBER'S ATTACKS","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
"HOUSE/AZ08 KELLY HIGH COST OF ENERGY","hou2012","Franks, Trent","Scharer, Gene","Dolgos, Stephen",1,0,0,"R",NA,1,1
