"creative","uid"
"HOUSE/AK01 YOUNG GROWN WITH ALASKA","NoChannel"
"HOUSE/AL02 FORD TIME AND AGAIN","NoChannel"
"HOUSE/AL02 ROBY THESE ARE OUR CHILDREN","NoChannel"
"HOUSE/AL04 ADERHOLT TROUBLE ABROAD TROUBLE AT HOME","NoChannel"
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN","NoMatch"
"HOUSE/AL06 BAILEY RUNNING AS A PROUD AMERICAN 10","NoMatch"
"HOUSE/AR01 CRAWFORD IT CAME FROM WASHINGTON","bqAfEUP4evU"
"HOUSE/AR01 CRAWFORD TICKING TIME BOMB","QEtYnTXi_yc"
"HOUSE/AR02 GRIFFIN KEYSTONE XL PIPELINE","NoChannel"
"HOUSE/AR04 COTTON FIGHT THROUGH THE FIRE 15","VQd-oNNr2XQ"
"HOUSE/AR04 COTTON WE ALL TOOK AN OATH","5Cj0q0EbQTs"
"HOUSE/AZ01 KIRKPATRICK COWBOYS","xB8hnNNCbMk"
"HOUSE/AZ01 KIRKPATRICK DRIVEN","H-vApzyuhVc"
"HOUSE/AZ01 KIRKPATRICK REFUNDED","GokdiJLMrpw"
"HOUSE/AZ01 KIRKPATRICK RIGHT WAY","IwzYREAxI0M"
"HOUSE/AZ01 PATON&NRCC LEAD BY EXAMPLE","h-9_m2JpKus"
"HOUSE/AZ01 PATON KIRKPATRICK OBAMACARE","0SxXVygJTWY"
"HOUSE/AZ02 BARBER&DCCC FALSE ATTACKS REV","NoMatch"
"HOUSE/AZ02 BARBER DEMONSTRATED HIS RESILIENCE","NoMatch"
"HOUSE/AZ02 BARBER EXPERIENCE AND DEEP ROOTS","NoMatch"
"HOUSE/AZ02 BARBER FRAN","NoMatch"
"HOUSE/AZ02 BARBER MCSALLY FALSE ATTACKS","NoMatch"
"HOUSE/AZ02 BARBER WORKED HARD","NoMatch"
"HOUSE/AZ02 MCSALLY BARBER FIX WASHINGTON","NoMatch"
"HOUSE/AZ02 MCSALLY BARBER GONE WASHINGTON","NoMatch"
"HOUSE/AZ02 MCSALLY IS NOT AFRAID OF A GOOD FIGHT","NoMatch"
"HOUSE/AZ02 MCSALLY LEADS IN THEIR FOOTSTEPS","NoMatch"
"HOUSE/AZ02 MCSALLY PIONEERING SPIRIT","x3-mcf9owZQ"
"HOUSE/AZ02 MCSALLY REKINDLE","1-edDFTY9iM"
"HOUSE/AZ02 MCSALLY STRIPES","NoMatch"
"HOUSE/AZ08 AZDP&BARBER THE RIGHT WAY","NoChannel"
"HOUSE/AZ08 BARBER BROKE","NoChannel"
"HOUSE/AZ08 BARBER COMMON GROUND","NoChannel"
"HOUSE/AZ08 BARBER FALSE ATTACKS","NoChannel"
"HOUSE/AZ08 BARBER SMALL BUSINESS","NoChannel"
"HOUSE/AZ08 KELLY&NRCC DISTORTING RECORD","NoChannel"
"HOUSE/AZ08 KELLY BARBER'S ATTACKS","NoChannel"
"HOUSE/AZ08 KELLY HIGH COST OF ENERGY","NoChannel"
"HOUSE/AZ08 KELLY NEXT GENERATION","NoChannel"
"HOUSE/AZ08 KELLY SIGNS","NoChannel"
"HOUSE/AZ08 MCSALLY PIONEERING SPIRIT","NoChannel"
"HOUSE/AZ09 PARKER EXPOSES THE ATTACKS","NoMatch"
"HOUSE/AZ09 PARKER SINEMA PRADA SOCIALIST","NoMatch"
"HOUSE/AZ09 PARKER TOUGH UPBRINGING","NoMatch"
"HOUSE/AZ09 SINEMA&DCCC AS A SOCIAL WORKER","vSZXNoa6X5o"
"HOUSE/AZ09 SINEMA MORAL OBLIGATION","eDi3riI1KTg"
"HOUSE/AZ09 SINEMA PARKER FORCE VIEWS ON WOMEN","csM6A65D4cA"
"HOUSE/CA03 GARAMENDI&DCCC VETERANS REV 2","NoMatch"
"HOUSE/CA03 GARAMENDI&DCCC WATER","eysxIRQeGiY"
"HOUSE/CA03 GARAMENDI ALWAYS BEEN A LEADER","NoMatch"
"HOUSE/CA03 GARAMENDI CLINTON IN THIS TOGETHER","G3cJJN1br2o"
"HOUSE/CA03 GARAMENDI GREW UP ON THIS RANCH","0bJq3lTLxEE"
"HOUSE/CA03 GARAMENDI MAKE IT IN AMERICA","-puBEpSWiO8"
"HOUSE/CA03 GARAMENDI VETERANS","NoMatch"
"HOUSE/CA03 VANN NEW DIRECTION","h8xK5cO5TSk"
"HOUSE/CA06 MATSUI AN HONOR","Gzqv96Ie86A"
"HOUSE/CA07 BERA&DCCC IF YOU DON'T DO YOUR JOB","SxMthosRtAY"
"HOUSE/CA07 BERA LUNGREN IS OUT OF STEP","QxFLpBDSVZo"
"HOUSE/CA07 BERA MORE THAN AN OATH","DQm5IiQdH-A"
"HOUSE/CA07 BERA PEOPLE ARE STRUGGLING","mMnmOjgvRkg"
"HOUSE/CA07 BERA SUE LUTZ RAPE IS RAPE","NoMatch"
"HOUSE/CA07 LUNGREN&NRCC MEGAN'S LAW","NoChannel"
"HOUSE/CA07 LUNGREN BERA GAS TAX","NoChannel"
"HOUSE/CA07 LUNGREN BERA TALKING ABOUT RAISING TAXES","NoChannel"
"HOUSE/CA07 LUNGREN SQUEEZE INN","NoChannel"
"HOUSE/CA09 GILL MCNERNEY DOESN'T REPRESENT THE VALLEY","NoMatch"
"HOUSE/CA09 GILL MCNERNEY HASN'T BEEN WORKING FOR US","NoMatch"
"HOUSE/CA09 GILL MCNERNEY JOBS IN DENMARK","NoMatch"
"HOUSE/CA09 GILL MCNERNEY THE TRUTH","NoMatch"
"HOUSE/CA09 GILL SAME POLITICIANS SAME RESULTS","NoMatch"
"HOUSE/CA09 MCNERNEY GILL NEVER HELD A FULL TIME JOB","VLL7Eck2HME"
"HOUSE/CA09 MCNERNEY LOCAL VETERANS","0qs28HbPxtU"
"HOUSE/CA09 MCNERNEY WHOA","mfK1J62rNZI"
"HOUSE/CA09 MCNERNY UNFAIR TRADE","NoChannel"
"HOUSE/CA10 DENHAM BIOGRAPHY","NoChannel"
"HOUSE/CA10 DENHAM DISAGREES","NoChannel"
"HOUSE/CA10 DENHAM HERNANDEZ TRAIN","NoChannel"
"HOUSE/CA10 DENHAM SPECIAL PLACE","NoChannel"
"HOUSE/CA10 HERNANDEZ&DCCC BELIEVE","2AT-rWKnD-I"
"HOUSE/CA10 HERNANDEZ DENHAM MOST HYPOCRITICAL MAN IN CONGRESS","BmWvNmN0DzY"
"HOUSE/CA10 HERNANDEZ FIGHTING","kdDp7jFr_3w"
"HOUSE/CA10 HERNANDEZ WHAT IS HAPPENING","TwlM9jIdqBc"
"HOUSE/CA11 FULLER MUSLIM NIGHTMARE","NoChannel"
"HOUSE/CA16 COSTA ENDORSEMENTS","NoChannel"
"HOUSE/CA16 COSTA HARD WORK LEADERSHIP REV","NoChannel"
"HOUSE/CA16 COSTA LEADERSHIP REV","NoChannel"
"HOUSE/CA16 COSTA YOU CAN'T FAKE FARMING","NoChannel"
"HOUSE/CA17 LI FENDED OFF","NoMatch"
"HOUSE/CA20 FARR IT'S NOT JUST PRETTY SCENERY","NoChannel"
"HOUSE/CA20 FARR PEOPLE ARE SCARED","NoChannel"
"HOUSE/CA20 FARR PEOPLE NEED SOME HELP","NoChannel"
"HOUSE/CA21 HERNANDEZ BIG MONEY BOYS","75TGweOMGsk"
"HOUSE/CA21 HERNANDEZ IN VERY HARD TIMES","NoMatch"
"HOUSE/CA21 HERNANDEZ JOBS FIRST REV","NoMatch"
"HOUSE/CA21 HERNANDEZ SAFETY NET","NoMatch"
"HOUSE/CA21 VALADAO FARMER FAMILY LEADER","NoChannel"
"HOUSE/CA21 VALADAO MORE JOBS","NoChannel"
"HOUSE/CA21 VALADAO PRIORITIES","NoChannel"
"HOUSE/CA22 LEE HONORED","Fb4cvCRS-oo"
"HOUSE/CA22 LEE SMALLER GOVERNMENT","YXC9OmW7z1Q"
"HOUSE/CA22 LEE VISALIA TIMES-DELTA SAID","Tep_GSann54"
"HOUSE/CA23 MCCARTHY IS A MAN OF INTEGRITY","2Ic7f8PvmD8"
"HOUSE/CA23 MCCARTHY ROBERT SUTHERLAND MEDALS","9CuX48vOto0"
"HOUSE/CA24 CAPPS FRIENDS","tdxBZncIhtE"
"HOUSE/CA24 CAPPS MALDONADO FALSLEY ATTACKING","qFHHv4SA1-Q"
