GOV_DE_MARKELL_LOSING_JOBS_60	wdWYz9dhNaw
GOV_DE_MARKELL_MODERNIZE_STATE_GOVERNMENT	
GOV_DE_MARKELL_RACE_TO_THE_TOP	7C1nQIdYfIU
GOV_IN_GREGG_BEAUTY_SALON_LADIES	GV1VdQjGgSg
GOV_IN_GREGG_FAST_TALK	zLyVFbfsnbA
GOV_IN_GREGG_HOW_THEY_WOULD_GOVERN	ehX19r4Xw-M
GOV_IN_GREGG_INDIANA_EXPERIENCE	-wY9qGcDZJk
GOV_IN_GREGG_LOOK_OUT_FOR_EACH_OTHER	9uMT9YrEZiI
GOV_IN_GREGG_PENCE_WELCOMES_TEA_PARTY	wLzy-HiCGak
GOV_IN_GREGG_RAINY_DAY_FUND	Z4jSl1XEuWc
GOV_IN_GREGG_TWO_KINDS_OF_PUBLIC_SERVANTS	69wav8ewjPo
GOV_IN_PENCE_A_LIFELONG_HOOSIER	xomOUS4mO9U
GOV_IN_PENCE_A_LIFELONG_HOOSIER_60	ERL-X_bDMSc
GOV_IN_PENCE_BEST_PLACE_IN_AMERICA	GAzalM8bh9U
GOV_IN_PENCE_CHALLENGING_TIMES	uOEpXtgPD7g
GOV_IN_PENCE_CHALLENGING_TIMES_REV	gTpr2K0VFPI
GOV_IN_PENCE_COMMON_SENSE	U7FuNqJfaKY
GOV_IN_PENCE_EDUCATION_GOVERNOR	O3t6vKkWA5w
GOV_IN_PENCE_ELLSPERMANN	PkAYeEjFnwk
GOV_IN_PENCE_HARD_WORKING_HERITAGE	
GOV_IN_PENCE_HARD_WORKING_HERITAGE_60	fHgpSmRcVc0
GOV_IN_PENCE_HOMETOWN	hadh_-XjdFM
GOV_IN_PENCE_HONORABLE_WORK	0bxn2-8VULA
GOV_IN_PENCE_I_LOVE_HARD_WORK	Vqa-HuOaICQ
GOV_IN_PENCE_MILITARY_MEN_AND_WOMEN	XI7Sktoe_3Y
GOV_IN_PENCE_NEGATIVE_ATTACKS	
GOV_IN_PENCE_ROADMAP_FOR_INDIANA	3-GQlYpxNug
GOV_IN_PENCE_WOMENS_HEALTH	
GOV_KY_BESHEAR_26_YEAR_CAREER	Y8x5H1OMvnE
GOV_KY_BESHEAR_40_YEARS	YQoaeniYzuY
GOV_KY_BESHEAR_ACCOUNTABILITY	gwWDmoPi_S0
GOV_KY_BESHEAR_BUSINESS_INCENTIVES	xYoqGIMLa5s
GOV_KY_BESHEAR_CUT	FR_HAryvo2I
GOV_KY_BESHEAR_ECONOMIC_INCENTIVES	SFS8ktdghEw
GOV_KY_BESHEAR_GREAT_TEAM	GTnQb3oDoZ0
GOV_KY_BESHEAR_LEADING_BY_EXAMPLE	kqDYjfC3YTU
GOV_KY_BESHEAR_LEADING_BY_EXAMPLE_REV	kqDYjfC3YTU
GOV_KY_BESHEAR_OFF_THE_AIR	
GOV_KY_BESHEAR_PROGRESS	Lt94JTrBYas
GOV_KY_BESHEAR_SHADOWY	
GOV_KY_BESHEAR_STEADY_HAND	2F7JfCJxu3E
GOV_KY_BESHEAR_UNEMPLOYED	BD84vPsz_qc
GOV_KY_BESHEAR_VALUE_OF_LEADERSHIP	a92E3D9RDIA
GOV_KY_BESHEAR_WILLIAMS_AND_FARMER	o-ZNMh-iCzM
GOV_KY_BESHEAR_WILLIAMS_PRIORITIES	
GOV_KY_WILLIAMS_BETTER_PLAN	gKS9uChP1eQ
GOV_KY_WILLIAMS_DAD	7jaoza0c2Vo
GOV_KY_WILLIAMS_MEET_BILL_&_LARRY	
GOV_KY_WILLIAMS_ROBYN	IzPGF4H4oU4
GOV_KY_WILLIAMS_TEAM	95BuLhAuQt0
GOV_KY_WILLIAMS_TOUGH	dI57aivjOmc
GOV_KY_WILLIAMS_VOTE	M6Dk6lK_J_g
GOV_LA_HOLLIS_ECONOMIC_STRUGGLE	2tNhrNtcbZw
GOV_MO_NIXON_ARE_YOU_ANGRY	
GOV_MO_NIXON_DOING_THINGS_DIFFERENTLY	fNYLlK0ZG_8
GOV_MO_NIXON_EVERY_JOB_COUNTS	Bxc-j6Gq3pk
GOV_MO_NIXON_LAST_MONTH	H-NT1A0Kvkk
GOV_MO_NIXON_MEET_DAVE_SPENCE	
GOV_MO_NIXON_NATURAL_DISASTERS	AUdFMaNDbNQ
GOV_MO_NIXON_NEWSPAPERS_ENDORSE	
GOV_MO_NIXON_NEW_JOBS	GPW5J9t4ZKU
GOV_MO_NIXON_NOTHING_GETS_DONE	fNYLlK0ZG_8
GOV_MO_NIXON_SPENCE_AD_FALSE	
GOV_MO_NIXON_SPENCE_BAILOUT	
GOV_MO_NIXON_TOGETHER	yXvTia31KJw
GOV_MO_NIXON_TRADITIONS_WE_LOVE	
GOV_MO_NIXON_TRADITIONS_WE_LOVE_60	I0SJ9s9Atx8
GOV_MO_NIXON_WASHINGTON_IS_BROKEN	qVTdeVFOCiw
GOV_MO_NIXON_WHO_CAN_WE_TRUST	N8BQ08SGGpo
GOV_MS_BRYANT_CHUCK_BRYANT	swjlSOJDw44
GOV_MS_BRYANT_DEBORAH_BRYANT	vFjBsKwX9xE
GOV_MS_BRYANT_I'M_FOR_PHIL	fobrxH2Kiss
GOV_MS_BRYANT_I'M_FOR_PHIL_2	sYn686L4Xgk
GOV_MS_BRYANT_JOBS	-1EIROfLt-4
GOV_MS_BRYANT_LAST_MINUTE_ATTACKS	
GOV_MS_BRYANT_LEADERSHIP	qO6WcTRK-Jw
GOV_MS_BRYANT_OPPORTUNITY	
GOV_MS_BRYANT_OPTIMISTIC	v_3ZTnwZ40s
GOV_MS_BRYANT_TOGETHER	v_3ZTnwZ40s
GOV_MS_BRYANT_VISION	aEBlUYHmjwU
GOV_MS_BRYANT_VISION_REV	aEBlUYHmjwU
GOV_MS_DUPREE_FOR_GOVERNOR	vZAIh-1FLnk
GOV_MT_HILL_BEAT_POLIO	KFNeBbqBnYM
GOV_MT_HILL_CUT_OUT	Oj0JbpL5vmU
GOV_MT_HILL_FALSE_ATTACKS	
GOV_MT_HILL_GET_THE_JOB_DONE	W_IgXGql4tg
GOV_MT_HILL_HUNTING_AND_FISHING	
GOV_MT_HILL_POLITICAL_NOISE	GIMlvGFz1Mg
GOV_MT_HILL_STARTED	
GOV_NC_DALTON_GREAT_JOBS	XVay9RP_sqY
GOV_NC_DALTON_GREAT_SCHOOLS	453cbkHQzec
GOV_NC_DALTON_GREAT_SCHOOLS_REV	453cbkHQzec
GOV_NC_DALTON_IN_A_HOLE	ebc9B9_gENY
GOV_NC_DALTON_RUTHERFORDTON	J9oyoRcCe88
GOV_NC_DALTON_SIMPLE_NAME	XVay9RP_sqY
GOV_NC_MCCRORY_AS_MAYOR	
GOV_NC_MCCRORY_DRAIN	
GOV_NC_MCCRORY_FIX	
GOV_NC_MCCRORY_FORGET_ABOUT_POLITICS_60	
GOV_NC_MCCRORY_GOOD_MATH_BAD_DEAL	
GOV_NC_MCCRORY_I_WAS_A_MAYOR	
GOV_NC_MCCRORY_NATURAL_RESOURCES	
GOV_NC_MCCRORY_RAISED_IN_JAMESTOWN	
GOV_NC_MCCRORY_REWARD_GREAT_TEACHERS	SjptvQS0qow
GOV_NC_MCCRORY_SHERIFF	
GOV_NC_MCCRORY_STRUGGLING_IN_NC	
GOV_ND_DALRYMPLE_A_UNIQUE_TIME	vwQRywEQE54
GOV_ND_DALRYMPLE_FLOOD	
GOV_ND_DALRYMPLE_HELICOPTER_PILOT	FkJ6A7ze2bY
GOV_ND_DALRYMPLE_HELPED_OUR_SCHOOLS	Sazk4skZ8kE
GOV_ND_DALRYMPLE_HOUSING	BjO2quOH90I
GOV_ND_DALRYMPLE_JOBS_ARE_HERE	g_NPoELIBpI
GOV_ND_DALRYMPLE_UNIQUE_TIME	KwqNZ1k_b2k
GOV_ND_DALRYMPLE_UNIQUE_TIME_60	ygdreg9tXEU
GOV_ND_DALRYMPLE_WHAT_DOES_IT_TAKE	K7QJy97KP6I
GOV_ND_TAYLOR_CROSSROADS	1Bs0piQ4Rl0
GOV_ND_TAYLOR_GIVE_UP	troM4-wMAGo
GOV_ND_TAYLOR_THINGS_ARE_CHANGING	GLEIcTFCT2Q
GOV_UT_COOKE_CHECKS_AND_BALANCES	1wRm7OUqYyQ
GOV_UT_COOKE_HEADLINES	bvCNKY8eNfE
GOV_UT_COOKE_NOT_A_CAREER_POLITICIAN	ocJq4YPRHxs
GOV_UT_COOKE_RADIOACTIVE_WASTE	
GOV_UT_COOKE_SAVE_HILL	HxPNJOydHeQ
GOV_UT_COOKE_THIS_ELECTION_15	b5qf7uif1N8
GOV_UT_HERBERT_EDUCATION_TOP_PRIORITY	Hh8QeYYqFUQ
GOV_UT_HERBERT_EDUCATION_TOP_PRIORITY_60	21-GPu8lQrk
