"race","yt_district","candidate","length","uid","uid_ext"
"gov2012","DE","Markell",32.043533,"7C1nQIdYfIU","DE_Markell/7C1nQIdYfIU"
"gov2012","DE","Markell",61.114911,"wdWYz9dhNaw","DE_Markell/wdWYz9dhNaw"
"gov2012","IN","Gregg",32.298956,"-wY9qGcDZJk","IN_Gregg/-wY9qGcDZJk"
"gov2012","IN","Gregg",32.251667,"69wav8ewjPo","IN_Gregg/69wav8ewjPo"
"gov2012","IN","Gregg",32.043533,"9uMT9YrEZiI","IN_Gregg/9uMT9YrEZiI"
"gov2012","IN","Gregg",31.207611,"ehX19r4Xw-M","IN_Gregg/ehX19r4Xw-M"
"gov2012","IN","Gregg",32.135,"GV1VdQjGgSg","IN_Gregg/GV1VdQjGgSg"
"gov2012","IN","Gregg",59.441667,"i4fB3khwrn8","IN_Gregg/i4fB3khwrn8"
"gov2012","IN","Gregg",28.118333,"k4PJCKxx1V4","IN_Gregg/k4PJCKxx1V4"
"gov2012","IN","Gregg",61.323333,"RrwtJTT-ruA","IN_Gregg/RrwtJTT-ruA"
"gov2012","IN","Gregg",31.16,"wLzy-HiCGak","IN_Gregg/wLzy-HiCGak"
"gov2012","IN","Gregg",32.251667,"Z4jSl1XEuWc","IN_Gregg/Z4jSl1XEuWc"
"gov2012","IN","Gregg",32.251667,"zLyVFbfsnbA","IN_Gregg/zLyVFbfsnbA"
"gov2012","IN","Pence",30.161667,"0bxn2-8VULA","IN_Pence/0bxn2-8VULA"
"gov2012","IN","Pence",30.091667,"3-GQlYpxNug","IN_Pence/3-GQlYpxNug"
"gov2012","IN","Pence",60.07,"ERL-X_bDMSc","IN_Pence/ERL-X_bDMSc"
"gov2012","IN","Pence",60.208333,"fHgpSmRcVc0","IN_Pence/fHgpSmRcVc0"
"gov2012","IN","Pence",30.091667,"GAzalM8bh9U","IN_Pence/GAzalM8bh9U"
"gov2012","IN","Pence",30.091667,"gTpr2K0VFPI","IN_Pence/gTpr2K0VFPI"
"gov2012","IN","Pence",30.045,"hadh_-XjdFM","IN_Pence/hadh_-XjdFM"
"gov2012","IN","Pence",31.741678,"MB_k_OSQC7Y","IN_Pence/MB_k_OSQC7Y"
"gov2012","IN","Pence",30.000178,"O3t6vKkWA5w","IN_Pence/O3t6vKkWA5w"
"gov2012","IN","Pence",30.091667,"PkAYeEjFnwk","IN_Pence/PkAYeEjFnwk"
"gov2012","IN","Pence",30.161667,"U7FuNqJfaKY","IN_Pence/U7FuNqJfaKY"
