creative,uid,issue,desc,mturk,pred
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,issue83,Energy,0,0
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,issue83,Energy,1,0
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,issue83,Energy,1,0
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,issue83,Energy,1,0
GOV/AK WALKER&MALLOT LIFELONG,ni7N2vokzMA,issue83,Energy,1,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,issue40,Crime,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,issue40,Crime,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,issue40,Crime,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,issue40,Crime,1,1
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,issue40,Crime,1,1
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,issue53,Healthcare,1,0
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,issue53,Healthcare,1,0
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,issue53,Healthcare,0,0
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,issue53,Healthcare,1,0
GOV/AL GRIFFITH EDUCATION LOTTERY,Vcky67wLACM,issue53,Healthcare,0,0
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,issue51,Lottery for Education,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,issue51,Lottery for Education,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,issue51,Lottery for Education,0,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,issue51,Lottery for Education,1,1
GOV/AL GRIFFITH VIRGINIA,lULv86xWBoA,issue51,Lottery for Education,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,issue15,Farming,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,issue15,Farming,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,issue15,Farming,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,issue15,Farming,1,1
GOV/AR HUTCHINSON 16 BILLION,OXlpjjV8kBk,issue15,Farming,1,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,mention3,Hope,0,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,mention3,Hope,0,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,mention3,Hope,0,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,mention3,Hope,0,1
GOV/AR HUTCHINSON HAVE YOU SEEN,c0zMsUyuG30,mention3,Hope,0,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,issue98,Government Regulation,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,issue98,Government Regulation,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,issue98,Government Regulation,0,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,issue98,Government Regulation,1,1
GOV/AZ DUCEY NEXT GOVERNOR,8IaDDyIUau0,issue98,Government Regulation,1,1
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,issue16,Business,0,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,issue16,Business,0,0
GOV/CO BEAUPREZ OPPOSES NEGATIVE ADS,pO8n630x0GA,issue16,Business,0,0
