creative,uid,length,music0_mturk,music1_mturk,music2_mturk,music3_mturk,music4_mturk,music1_pred,music2_pred,music3_pred,music4_pred
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT BORN IN FAIRBANKS,yx4f2zK67q0,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,30,0,0,1,0,0,0,1,0,0
GOV/AK WALKER&MALLOT MY DAD,6owFG9s6FIs,30,0,0,1,0,0,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,30,0,1,0,0,1,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,30,0,1,0,0,1,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,30,0,1,1,0,1,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,30,0,0,1,0,0,0,1,0,0
GOV/AL GRIFFITH BURNING,TAU8XCtXDPU,30,0,0,1,1,1,0,1,0,0
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,30,0,1,0,0,1,0,1,1,1
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,30,0,0,1,0,0,0,1,1,1
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,30,0,0,1,0,0,0,1,1,1
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,30,0,0,1,0,0,0,1,1,1
GOV/AZ DUCEY DIFFERENT RESUMES,5hzSXhjPbYo,30,1,0,0,0,0,0,1,1,1
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,30,0,1,0,0,1,1,0,1,1
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,30,0,0,1,1,1,1,0,1,1
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,30,0,1,1,0,1,1,0,1,1
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,30,0,0,0,1,1,1,0,1,1
GOV/AZ DUVAL AS CEO,IeC30GlAxZQ,30,0,1,1,0,1,1,0,1,1
GOV/AZ DUVAL INDEPENDENCE,rpBxrl4gg4Y,30,0,0,1,0,0,1,0,0,1
