creative,uid,f_picture,f_dist,o_picture,o_dist
USSEN/AK AKDP&BEGICH WHATEVER IT TAKES,0Q36RVHKzQs,1,0.376793914137144,0,0.6326256604233529
USSEN/AK BEGICH AD IDEAS,hdGYDt7AF24,1,0.33619513711989274,1,0.4201796840341165
USSEN/AK BEGICH AVIATION,hxFGToX34jw,1,0.2915810310714652,0,0.6180867745657755
USSEN/AK BEGICH BELLA,Axwxi7p9ov0,1,0.3164743085021947,0,0.6390503678711252
USSEN/AK BEGICH BRYAN BOX,3Ad8gNA6stg,1,0.2786394782432605,0,0.5930443741054796
USSEN/AK BEGICH CHEAP,NeWBOWdZ92M,1,0.479573029255234,0,0.6437056810750796
USSEN/AK BEGICH FATHER TO SON 60,fnVDAfkLHK8,1,0.3518237713226809,0,0.5489366125429913
USSEN/AK BEGICH FRIGHTENING,N0IYCGBKY6w,1,0.4921571262636844,1,0.42699939652094715
USSEN/AK BEGICH JUST GOT HERE,M0ds6ldi7Mw,1,0.500960606096735,1,0.3876611741321162
USSEN/AK BEGICH MARGIE,xRwJxwfFxaU,1,0.29122613878533593,0,0.6088446026310198
USSEN/AK BEGICH OUTSIDER AD,FMArORE6D3o,1,0.27385952925407364,0,0.5962731513514672
USSEN/AK BEGICH RIPPED OFF,DQuqQWG43ns,0,0.5963396509938732,1,0.443866012237289
USSEN/AK BEGICH ROAD,N6LXyj62FVQ,1,0.3418585174635822,0,0.6789300965269333
USSEN/AK BEGICH TERRY,zC-UBP6IMEo,1,0.44493583254853203,0,0.638379837922378
USSEN/AK BEGICH TOOK ON OBAMA,nbNAvbuRgE4,1,0.49673772944027783,1,0.4533445444493707
USSEN/AK BEGICH WE WON,MacCj2bCNYg,1,0.4509454281331003,0,0.6800888934726249
USSEN/AK BEGICH WHO'S BEHIND,m5JFAMJ-9Uk,1,0.41119492507216826,0,0.6157532654316076
USSEN/AK BEGICH WORK WITH ANYONE,_WtLKmT25_w,1,0.4337119700980449,0,0.575109548419025
USSEN/AK SULLIVAN ADVANCING ALASKA'S INTERESTS,YQL3QfGkfNQ,1,0.3110465368886037,0,0.7262667186154191
USSEN/AK SULLIVAN ALASKA'S TEACHERS,OSOQw2ccfKU,1,0.3729707260097216,0,0.7035186621859205
USSEN/AK SULLIVAN BEGICH'S FRIENDS,pW34DdIfCvI,1,0.3965600968034686,1,0.40784338239278906
USSEN/AK SULLIVAN COMMITTED,N42fO_JUNpI,1,0.44780416460115147,0,0.7022593441520205
USSEN/AK SULLIVAN ELAINA,wumIqinW404,1,0.4897037879765614,0,0.6667744331532375
USSEN/AK SULLIVAN LAME TRICKS,sveaZ4OpOo8,1,0.3969711561141787,0,0.6116836478914959
USSEN/AK SULLIVAN RETURNING THE FAVOR,kHPzTMT0Clk,1,0.32371820008820423,1,0.3722935710233654
