uid,r_auto,r_true,r_full,u_auto,u_true,u_full,n_auto,n_true,n_full
-HbCGg6dUmU,1646.399748241942,1568.2021679934671,1795.0,3.629312247503549,3.4878412522375584,8.260810960160882,24,15,1795
0bugwJQndjI,796.3814827461023,746.3191537815987,899.0,2.8660073913633823,2.090357221662998,5.693140456418178,19,10,899
0m-X72-bZhc,799.4236055406153,765.1096276444782,896.0,1.6803477313369513,1.459304666146636,4.702763982604036,14,10,896
2Fa9najMzJ4,637.8325503698744,629.2408464820355,719.0,5.399714060127735,5.375960901379585,10.68380886974046,18,17,719
60pD5YEEyN4,804.094509941531,798.1103927631457,897.0,5.157285775989294,4.180704019963741,27.774940020258043,18,17,897
79j1jxny4SY,766.9699560615804,679.9437694768376,897.0,3.414746383205056,3.408934347331524,7.898269703880487,22,9,897
96GizktJJGc,618.3646587252017,621.9432262745866,720.0,7.583792567253113,7.689476765692234,12.779951694694574,21,24,720
bNEm5--2uLI,791.3495645183242,720.6602871673343,892.0,3.3221282213926315,1.4752990081906319,6.4633978061341395,14,5,892
C1KwTMX7yPo,819.1758095311027,805.5393787287808,899.0,2.9509684406220913,3.430914491415024,6.049080559332651,11,11,899
cmtwz41oLdg,836.7319873636922,803.4648892716325,899.0,5.703552505001426,3.553822197020054,26.685862078613354,16,10,899
CTxz91-SvQo,690.0967635456904,635.5758845165171,767.0,2.2309486558660865,1.9168314337730408,4.0000657123647585,11,8,767
doe_nTBQ4MY,796.3109592177234,782.2109783788651,897.0,5.2125215427950025,6.370402036234736,11.814171006701216,15,15,897
dOZwa8DsOGU,807.8177118584352,743.8093927094048,900.0,2.5250189141370356,2.190310053527355,2.3144064205662587,16,7,900
dS96EbMSIqQ,791.0853454050203,704.4093514042129,899.0,1.795320793054998,1.34800636023283,7.288472820476876,18,5,899
faYcuihRYW8,761.7719094160211,731.9032953062667,901.0,3.397395263426006,2.9688243828713894,52.94552800119345,12,9,901
fCKQ55HiNjI,832.3749675302915,769.3423858687315,897.0,2.9754245933145285,2.674644038081169,10.926180517320837,18,10,897
FFTEcxlosY4,826.5346859621359,810.1949246494257,897.0,2.6891271541826427,2.630745690315962,3.8220317868833753,14,11,897
FMArORE6D3o,652.3347118835648,611.4256196132558,718.0,1.8170070080086589,1.7895516455173492,7.760532699069245,11,6,718
fZgmydmDduk,843.3405240820096,801.1879601390987,900.0,0.15171256009489298,0.054238950833678246,1.0673504810110899,7,3,900
GtmNQJG7s4s,612.0312492174139,585.5810592062908,719.0,5.352475910447538,5.029823690652847,8.779559575903477,16,11,719
ICKXdV_-m2w,902.4814508963943,875.2098924811503,991.0,6.1929738111793995,5.3758385218679905,19.526037166192097,19,14,991
I_BHyGE1QrY,639.5160056644938,639.5250528906729,720.0,4.255012031644583,4.336320171598345,6.372050855847192,13,15,720
jrNF4VGfmvc,836.0939697825174,809.8392647199655,893.0,6.287967740325257,4.831426914781332,7.46464192439085,17,13,893
KG9Rx2MPDpo,829.2460916186635,806.1960925959395,898.0,5.293310998007655,5.117614112794399,9.091872744160355,17,13,898
kKUmxtSB9q0,807.6335583526312,779.290467788554,899.0,6.524337165057659,5.241596043109894,13.551159104709598,19,13,899
KO7Uc3r0JTY,849.2304947952395,846.8196931672696,898.0,0.5151706580072641,0.44198221527040005,5.981911015682272,8,9,898
LrAm9oYaDLI,628.8882831169553,634.3446815150322,718.0,7.980073032900691,9.32735463604331,14.411320359184174,21,24,718
NeWBOWdZ92M,849.5981617079456,845.9337209052504,900.0,1.5335254445672035,1.5183805115520954,5.28736057365677,14,14,900
O9-3M1Lwzfs,761.4331352507793,732.570143093777,900.0,5.791494112461805,5.178422179073095,10.934547893406489,16,13,900
qG37Cd4ye7A,800.6807745347197,771.5962089907931,894.0,5.537701011635363,5.470585435628891,18.96107872924722,15,12,894
RoJ-nOAWT3A,832.4983196863717,820.0985059421703,898.0,2.734705445356667,2.833149019628763,11.387074306721363,16,15,898
TVvFQX3BoL4,632.9825695001988,604.7623132389779,718.0,5.0365691892802715,4.016174174845219,10.349637033388717,18,13,718
U7FuNqJfaKY,626.2504148319395,593.7352421487576,718.0,4.65884050168097,5.169879257678986,10.033056297538732,14,10,718
VmjZIPHNCRY,809.3593207902892,767.086593882716,898.0,3.031184180174023,2.877477992326021,7.670076866363388,17,11,898
VTEvyoz2_-Y,748.0314094115859,720.2274596106752,900.0,3.627328441478312,3.2631441354751587,10.724194071899035,16,11,900
vZ1WdEToJEU,808.7615293618228,806.0204258511778,899.0,5.074298903346062,5.0697362795472145,7.95903658823886,17,18,899
W2d9tXpt2ic,602.8545713414553,552.1287844238645,718.0,4.344822945073247,4.276482231914997,12.143196970922872,18,14,718
w512vk6gLXg,636.4689604773166,619.1999582574331,718.0,6.421280542388558,6.407884478569031,13.645126757888647,20,16,718
wJ1Hcgh-6Tk,822.2076241444947,794.3148480160298,897.0,3.6575096352025867,3.3462284840643406,11.661360261285942,13,9,897
yx8hujWmltg,830.2379995221835,807.0070102036634,898.0,2.057476603426039,1.6852044686675072,6.0727782842954525,14,9,898
